stimulus,category,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrConf.keys,instrConf.rt,date,frameRate,expName,session,participant,
C,letter,1,22,59,2,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
probe,probe,1,23,60,35,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
N,letter,1,24,61,13,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
None,blank,1,25,62,36,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
R,letter,1,26,63,17,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
K,letter,1,27,64,10,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
5,number,1,28,65,30,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
E,letter,1,29,66,4,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
M,letter,1,30,67,12,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
H,letter,1,31,68,7,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
T,letter,1,32,69,19,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
Z,letter,1,33,70,25,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
I,letter,1,34,71,8,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
V,letter,1,35,72,21,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
9,number,1,36,73,34,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
Y,letter,2,0,74,24,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
B,letter,2,1,75,1,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
X,letter,2,2,76,23,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
6,number,2,3,77,31,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
S,letter,2,4,78,18,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
probe,probe,2,5,79,35,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
8,number,2,6,80,33,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
A,letter,2,7,81,0,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
C,letter,2,8,82,2,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
W,letter,2,9,83,22,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
T,letter,2,10,84,19,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
R,letter,2,11,85,17,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
G,letter,2,12,86,6,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
7,number,2,13,87,32,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
E,letter,2,14,88,4,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
U,letter,2,15,89,20,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
9,number,2,16,90,34,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
Z,letter,2,17,91,25,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
3,number,2,18,92,28,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
F,letter,2,19,93,5,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
O,letter,2,20,94,14,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
D,letter,2,21,95,3,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
None,blank,2,22,96,36,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
H,letter,2,23,97,7,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
M,letter,2,24,98,12,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
1,number,2,25,99,26,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
P,letter,2,26,100,15,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
N,letter,2,27,101,13,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
L,letter,2,28,102,11,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
5,number,2,29,103,30,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
I,letter,2,30,104,8,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
2,number,2,31,105,27,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
4,number,2,32,106,29,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
Q,letter,2,33,107,16,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
J,letter,2,34,108,9,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
K,letter,2,35,109,10,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
V,letter,2,36,110,21,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
J,letter,3,0,111,9,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
