stimulus,category,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrConf.keys,instrConf.rt,date,frameRate,expName,session,participant,
I,letter,8,6,302,8,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
2,number,8,7,303,27,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
B,letter,8,8,304,1,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
M,letter,8,9,305,12,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
U,letter,8,10,306,20,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
Q,letter,8,11,307,16,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
9,number,8,12,308,34,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
7,number,8,13,309,32,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
P,letter,8,14,310,15,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
None,blank,8,15,311,36,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
R,letter,8,16,312,17,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
C,letter,8,17,313,2,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
T,letter,8,18,314,19,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
8,number,8,19,315,33,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
probe,probe,8,20,316,35,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
1,number,8,21,317,26,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
Y,letter,8,22,318,24,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
6,number,8,23,319,31,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
5,number,8,24,320,30,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
H,letter,8,25,321,7,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
J,letter,8,26,322,9,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
O,letter,8,27,323,14,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
X,letter,8,28,324,23,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
K,letter,8,29,325,10,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
4,number,8,30,326,29,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
A,letter,8,31,327,0,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
D,letter,8,32,328,3,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
L,letter,8,33,329,11,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
E,letter,8,34,330,4,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
G,letter,8,35,331,6,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
V,letter,8,36,332,21,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
C,letter,9,0,333,2,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
D,letter,9,1,334,3,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
Y,letter,9,2,335,24,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
B,letter,9,3,336,1,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
Z,letter,9,4,337,25,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
P,letter,9,5,338,15,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
T,letter,9,6,339,19,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
I,letter,9,7,340,8,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
L,letter,9,8,341,11,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
8,number,9,9,342,33,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
A,letter,9,10,343,0,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
5,number,9,11,344,30,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
V,letter,9,12,345,21,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
K,letter,9,13,346,10,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
O,letter,9,14,347,14,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
E,letter,9,15,348,4,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
M,letter,9,16,349,12,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
G,letter,9,17,350,6,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
Q,letter,9,18,351,16,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
probe,probe,9,19,352,35,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
S,letter,9,20,353,18,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
2,number,9,21,354,27,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
None,blank,9,22,355,36,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
J,letter,9,23,356,9,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
7,number,9,24,357,32,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
4,number,9,25,358,29,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
H,letter,9,26,359,7,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
9,number,9,27,360,34,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
3,number,9,28,361,28,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
6,number,9,29,362,31,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
U,letter,9,30,363,20,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
R,letter,9,31,364,17,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
N,letter,9,32,365,13,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
X,letter,9,33,366,23,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
W,letter,9,34,367,22,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
F,letter,9,35,368,5,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
1,number,9,36,369,26,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
E,letter,10,0,370,4,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
6,number,10,1,371,31,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
C,letter,10,2,372,2,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
5,number,10,3,373,30,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
T,letter,10,4,374,19,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
I,letter,10,5,375,8,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
O,letter,10,6,376,14,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
probe,probe,10,7,377,35,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
1,number,10,8,378,26,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
9,number,10,9,379,34,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
Q,letter,10,10,380,16,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
F,letter,10,11,381,5,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
W,letter,10,12,382,22,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
M,letter,10,13,383,12,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
K,letter,10,14,384,10,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
L,letter,10,15,385,11,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
None,blank,10,16,386,36,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
X,letter,10,17,387,23,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
H,letter,10,18,388,7,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
J,letter,10,19,389,9,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
U,letter,10,20,390,20,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
B,letter,10,21,391,1,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
3,number,10,22,392,28,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
S,letter,10,23,393,18,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
G,letter,10,24,394,6,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
A,letter,10,25,395,0,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
8,number,10,26,396,33,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
D,letter,10,27,397,3,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
V,letter,10,28,398,21,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
P,letter,10,29,399,15,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
2,number,10,30,400,27,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
Y,letter,10,31,401,24,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
7,number,10,32,402,32,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
R,letter,10,33,403,17,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
Z,letter,10,34,404,25,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
4,number,10,35,405,29,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
N,letter,10,36,406,13,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
F,letter,11,0,407,5,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
I,letter,11,1,408,8,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
Z,letter,11,2,409,25,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
U,letter,11,3,410,20,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
9,number,11,4,411,34,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
J,letter,11,5,412,9,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
probe,probe,11,6,413,35,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
5,number,11,7,414,30,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
P,letter,11,8,415,15,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
7,number,11,9,416,32,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
2,number,11,10,417,27,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
X,letter,11,11,418,23,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
8,number,11,12,419,33,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
T,letter,11,13,420,19,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
H,letter,11,14,421,7,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
1,number,11,15,422,26,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
L,letter,11,16,423,11,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
V,letter,11,17,424,21,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
A,letter,11,18,425,0,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
C,letter,11,19,426,2,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
R,letter,11,20,427,17,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
S,letter,11,21,428,18,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
B,letter,11,22,429,1,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
K,letter,11,23,430,10,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
N,letter,11,24,431,13,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
O,letter,11,25,432,14,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
Q,letter,11,26,433,16,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
D,letter,11,27,434,3,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
4,number,11,28,435,29,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
M,letter,11,29,436,12,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
3,number,11,30,437,28,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
None,blank,11,31,438,36,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
E,letter,11,32,439,4,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
G,letter,11,33,440,6,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
6,number,11,34,441,31,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
W,letter,11,35,442,22,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
Y,letter,11,36,443,24,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
D,letter,12,0,444,3,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
F,letter,12,1,445,5,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
Y,letter,12,2,446,24,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
I,letter,12,3,447,8,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
4,number,12,4,448,29,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
K,letter,12,5,449,10,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
C,letter,12,6,450,2,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
3,number,12,7,451,28,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
V,letter,12,8,452,21,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
O,letter,12,9,453,14,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
None,blank,12,10,454,36,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
Q,letter,12,11,455,16,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
M,letter,12,12,456,12,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
E,letter,12,13,457,4,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
9,number,12,14,458,34,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
6,number,12,15,459,31,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
8,number,12,16,460,33,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
P,letter,12,17,461,15,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
1,number,12,18,462,26,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
A,letter,12,19,463,0,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
W,letter,12,20,464,22,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
H,letter,12,21,465,7,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
G,letter,12,22,466,6,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
L,letter,12,23,467,11,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
probe,probe,12,24,468,35,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
2,number,12,25,469,27,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
B,letter,12,26,470,1,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
Z,letter,12,27,471,25,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
X,letter,12,28,472,23,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
5,number,12,29,473,30,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
T,letter,12,30,474,19,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
U,letter,12,31,475,20,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
R,letter,12,32,476,17,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
7,number,12,33,477,32,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
N,letter,12,34,478,13,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
S,letter,12,35,479,18,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
J,letter,12,36,480,9,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
5,number,13,0,481,30,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
W,letter,13,1,482,22,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
O,letter,13,2,483,14,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
4,number,13,3,484,29,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
S,letter,13,4,485,18,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
C,letter,13,5,486,2,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
P,letter,13,6,487,15,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
B,letter,13,7,488,1,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
1,number,13,8,489,26,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
probe,probe,13,9,490,35,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
9,number,13,10,491,34,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
Z,letter,13,11,492,25,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
I,letter,13,12,493,8,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
G,letter,13,13,494,6,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
E,letter,13,14,495,4,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
L,letter,13,15,496,11,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
R,letter,13,16,497,17,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
3,number,13,17,498,28,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
U,letter,13,18,499,20,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
J,letter,13,19,500,9,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
6,number,13,20,501,31,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
H,letter,13,21,502,7,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
A,letter,13,22,503,0,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
K,letter,13,23,504,10,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
Y,letter,13,24,505,24,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
Q,letter,13,25,506,16,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
D,letter,13,26,507,3,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
2,number,13,27,508,27,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
X,letter,13,28,509,23,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
F,letter,13,29,510,5,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
N,letter,13,30,511,13,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
M,letter,13,31,512,12,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
7,number,13,32,513,32,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
T,letter,13,33,514,19,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
None,blank,13,34,515,36,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
V,letter,13,35,516,21,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
8,number,13,36,517,33,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
U,letter,14,0,518,20,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
None,blank,14,1,519,36,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
T,letter,14,2,520,19,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
D,letter,14,3,521,3,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
Y,letter,14,4,522,24,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
M,letter,14,5,523,12,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
Z,letter,14,6,524,25,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
1,number,14,7,525,26,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
E,letter,14,8,526,4,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
G,letter,14,9,527,6,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
V,letter,14,10,528,21,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
W,letter,14,11,529,22,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
K,letter,14,12,530,10,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
9,number,14,13,531,34,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
B,letter,14,14,532,1,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
probe,probe,14,15,533,35,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
3,number,14,16,534,28,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
I,letter,14,17,535,8,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
8,number,14,18,536,33,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
5,number,14,19,537,30,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
Q,letter,14,20,538,16,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
R,letter,14,21,539,17,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
P,letter,14,22,540,15,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
F,letter,14,23,541,5,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
N,letter,14,24,542,13,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
L,letter,14,25,543,11,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
C,letter,14,26,544,2,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
4,number,14,27,545,29,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
A,letter,14,28,546,0,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
S,letter,14,29,547,18,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
X,letter,14,30,548,23,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
O,letter,14,31,549,14,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
2,number,14,32,550,27,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
J,letter,14,33,551,9,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
7,number,14,34,552,32,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
H,letter,14,35,553,7,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
6,number,14,36,554,31,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
