5.9699 	EXP 	text: autoDraw = False
5.9699 	EXP 	interStimInt: autoDraw = True
6.0032 	EXP 	interStimInt: autoDraw = False
6.0032 	EXP 	text: text = 'Z'
6.0032 	EXP 	text: autoDraw = True
6.0368 	EXP 	New trial (rep=0, index=13): OrderedDict([(u'stimulus', u'P'), (u'category', u'letter')])
6.0551 	EXP 	text: autoDraw = False
6.0551 	EXP 	interStimInt: autoDraw = True
6.0861 	EXP 	interStimInt: autoDraw = False
6.0861 	EXP 	text: text = u'P'
6.0861 	EXP 	text: autoDraw = True
6.1197 	EXP 	New trial (rep=0, index=14): OrderedDict([(u'stimulus', u'L'), (u'category', u'letter')])
6.1366 	EXP 	text: autoDraw = False
6.1366 	EXP 	interStimInt: autoDraw = True
6.1698 	EXP 	interStimInt: autoDraw = False
6.1698 	EXP 	text: text = u'L'
6.1698 	EXP 	text: autoDraw = True
6.2029 	EXP 	New trial (rep=0, index=15): OrderedDict([(u'stimulus', u'M'), (u'category', u'letter')])
6.2198 	EXP 	text: autoDraw = False
6.2198 	EXP 	interStimInt: autoDraw = True
6.2551 	EXP 	interStimInt: autoDraw = False
6.2551 	EXP 	text: text = u'M'
6.2551 	EXP 	text: autoDraw = True
6.2871 	EXP 	New trial (rep=0, index=16): OrderedDict([(u'stimulus', u'G'), (u'category', u'letter')])
6.3031 	EXP 	text: autoDraw = False
6.3031 	EXP 	interStimInt: autoDraw = True
6.3366 	EXP 	interStimInt: autoDraw = False
6.3366 	EXP 	text: text = u'G'
6.3366 	EXP 	text: autoDraw = True
6.3703 	EXP 	New trial (rep=0, index=17): OrderedDict([(u'stimulus', 9), (u'category', u'number')])
6.3865 	EXP 	text: autoDraw = False
6.3865 	EXP 	interStimInt: autoDraw = True
6.4199 	EXP 	interStimInt: autoDraw = False
6.4199 	EXP 	text: text = 9
6.4199 	EXP 	text: autoDraw = True
6.4555 	EXP 	New trial (rep=0, index=18): OrderedDict([(u'stimulus', u'H'), (u'category', u'letter')])
6.4699 	EXP 	text: autoDraw = False
6.4699 	EXP 	interStimInt: autoDraw = True
6.5033 	EXP 	interStimInt: autoDraw = False
6.5033 	EXP 	text: text = u'H'
6.5033 	EXP 	text: autoDraw = True
6.5368 	EXP 	New trial (rep=0, index=19): OrderedDict([(u'stimulus', u'Y'), (u'category', u'letter')])
6.5546 	EXP 	text: autoDraw = False
6.5546 	EXP 	interStimInt: autoDraw = True
6.5867 	EXP 	interStimInt: autoDraw = False
6.5867 	EXP 	text: text = u'Y'
6.5867 	EXP 	text: autoDraw = True
6.6199 	EXP 	New trial (rep=0, index=20): OrderedDict([(u'stimulus', u'V'), (u'category', u'letter')])
6.6367 	EXP 	text: autoDraw = False
6.6367 	EXP 	interStimInt: autoDraw = True
6.6700 	EXP 	interStimInt: autoDraw = False
6.6700 	EXP 	text: text = u'V'
6.6700 	EXP 	text: autoDraw = True
6.7035 	EXP 	New trial (rep=0, index=21): OrderedDict([(u'stimulus', 2), (u'category', u'number')])
6.7198 	EXP 	text: autoDraw = False
6.7198 	EXP 	interStimInt: autoDraw = True
6.7552 	EXP 	interStimInt: autoDraw = False
6.7552 	EXP 	text: text = 2
6.7552 	EXP 	text: autoDraw = True
6.7867 	EXP 	New trial (rep=0, index=22): OrderedDict([(u'stimulus', u'O'), (u'category', u'letter')])
6.8030 	EXP 	text: autoDraw = False
