stimulus,category,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,date,frameRate,expName,session,participant,
K,letter,2,0,74,10,2018_Jan_26_2228,None,rsvp,001,1,
Z,letter,2,1,75,25,2018_Jan_26_2228,None,rsvp,001,1,
9,number,2,2,76,34,2018_Jan_26_2228,None,rsvp,001,1,
T,letter,2,3,77,19,2018_Jan_26_2228,None,rsvp,001,1,
U,letter,2,4,78,20,2018_Jan_26_2228,None,rsvp,001,1,
P,letter,2,5,79,15,2018_Jan_26_2228,None,rsvp,001,1,
1,number,2,6,80,26,2018_Jan_26_2228,None,rsvp,001,1,
L,letter,2,7,81,11,2018_Jan_26_2228,None,rsvp,001,1,
Y,letter,2,8,82,24,2018_Jan_26_2228,None,rsvp,001,1,
M,letter,2,9,83,12,2018_Jan_26_2228,None,rsvp,001,1,
W,letter,2,10,84,22,2018_Jan_26_2228,None,rsvp,001,1,
C,letter,2,11,85,2,2018_Jan_26_2228,None,rsvp,001,1,
4,number,2,12,86,29,2018_Jan_26_2228,None,rsvp,001,1,
6,number,2,13,87,31,2018_Jan_26_2228,None,rsvp,001,1,
H,letter,2,14,88,7,2018_Jan_26_2228,None,rsvp,001,1,
S,letter,2,15,89,18,2018_Jan_26_2228,None,rsvp,001,1,
I,letter,2,16,90,8,2018_Jan_26_2228,None,rsvp,001,1,
8,number,2,17,91,33,2018_Jan_26_2228,None,rsvp,001,1,
2,number,2,18,92,27,2018_Jan_26_2228,None,rsvp,001,1,
R,letter,2,19,93,17,2018_Jan_26_2228,None,rsvp,001,1,
7,number,2,20,94,32,2018_Jan_26_2228,None,rsvp,001,1,
J,letter,2,21,95,9,2018_Jan_26_2228,None,rsvp,001,1,
A,letter,2,22,96,0,2018_Jan_26_2228,None,rsvp,001,1,
Q,letter,2,23,97,16,2018_Jan_26_2228,None,rsvp,001,1,
X,letter,2,24,98,23,2018_Jan_26_2228,None,rsvp,001,1,
3,number,2,25,99,28,2018_Jan_26_2228,None,rsvp,001,1,
None,blank,2,26,100,36,2018_Jan_26_2228,None,rsvp,001,1,
G,letter,2,27,101,6,2018_Jan_26_2228,None,rsvp,001,1,
E,letter,2,28,102,4,2018_Jan_26_2228,None,rsvp,001,1,
D,letter,2,29,103,3,2018_Jan_26_2228,None,rsvp,001,1,
B,letter,2,30,104,1,2018_Jan_26_2228,None,rsvp,001,1,
5,number,2,31,105,30,2018_Jan_26_2228,None,rsvp,001,1,
probe,probe,2,32,106,35,2018_Jan_26_2228,None,rsvp,001,1,
O,letter,2,33,107,14,2018_Jan_26_2228,None,rsvp,001,1,
N,letter,2,34,108,13,2018_Jan_26_2228,None,rsvp,001,1,
F,letter,2,35,109,5,2018_Jan_26_2228,None,rsvp,001,1,
V,letter,2,36,110,21,2018_Jan_26_2228,None,rsvp,001,1,
N,letter,3,0,111,13,2018_Jan_26_2228,None,rsvp,001,1,
O,letter,3,1,112,14,2018_Jan_26_2228,None,rsvp,001,1,
Z,letter,3,2,113,25,2018_Jan_26_2228,None,rsvp,001,1,
None,blank,3,3,114,36,2018_Jan_26_2228,None,rsvp,001,1,
Y,letter,3,4,115,24,2018_Jan_26_2228,None,rsvp,001,1,
7,number,3,5,116,32,2018_Jan_26_2228,None,rsvp,001,1,
X,letter,3,6,117,23,2018_Jan_26_2228,None,rsvp,001,1,
L,letter,3,7,118,11,2018_Jan_26_2228,None,rsvp,001,1,
B,letter,3,8,119,1,2018_Jan_26_2228,None,rsvp,001,1,
M,letter,3,9,120,12,2018_Jan_26_2228,None,rsvp,001,1,
5,number,3,10,121,30,2018_Jan_26_2228,None,rsvp,001,1,
T,letter,3,11,122,19,2018_Jan_26_2228,None,rsvp,001,1,
6,number,3,12,123,31,2018_Jan_26_2228,None,rsvp,001,1,
E,letter,3,13,124,4,2018_Jan_26_2228,None,rsvp,001,1,
S,letter,3,14,125,18,2018_Jan_26_2228,None,rsvp,001,1,
probe,probe,3,15,126,35,2018_Jan_26_2228,None,rsvp,001,1,
G,letter,3,16,127,6,2018_Jan_26_2228,None,rsvp,001,1,
I,letter,3,17,128,8,2018_Jan_26_2228,None,rsvp,001,1,
C,letter,3,18,129,2,2018_Jan_26_2228,None,rsvp,001,1,
U,letter,3,19,130,20,2018_Jan_26_2228,None,rsvp,001,1,
9,number,3,20,131,34,2018_Jan_26_2228,None,rsvp,001,1,
H,letter,3,21,132,7,2018_Jan_26_2228,None,rsvp,001,1,
