23.3071 	WARNING 	Trying to use a framebuffer object but GL_ARB_texture_float is not supported. Disabling
38.1037 	EXP 	New trial (rep=0, index=8): {'stimulus': u'X', 'category': u'letter'}
38.1348 	EXP 	window1: blendMode = 'avg'
38.1445 	EXP 	stimuli: autoDraw = False
38.1445 	EXP 	stimuli: text = u'V'
38.1445 	EXP 	stimuli: autoDraw = False
38.1445 	EXP 	stimuli: text = u'X'
38.1445 	EXP 	stimuli: autoDraw = True
38.1450 	EXP 	window1: blendMode = 'avg'
38.2174 	EXP 	New trial (rep=0, index=9): {'stimulus': u'probe', 'category': u'probe'}
38.2282 	EXP 	New trial (rep=0, index=10): {'stimulus': 4, 'category': u'number'}
38.2358 	EXP 	window1: blendMode = 'avg'
38.2592 	EXP 	stimuli: autoDraw = False
38.2592 	EXP 	stimuli: text = u'probe'
38.2592 	EXP 	stimuli: autoDraw = False
38.2592 	EXP 	stimuli: text = 4
38.2592 	EXP 	stimuli: autoDraw = True
38.2620 	EXP 	New trial (rep=0, index=11): {'stimulus': u'A', 'category': u'letter'}
38.2700 	EXP 	window1: blendMode = 'avg'
38.2830 	EXP 	stimuli: autoDraw = False
38.2830 	EXP 	stimuli: text = u'A'
38.2830 	EXP 	stimuli: autoDraw = True
38.2835 	EXP 	window1: blendMode = 'avg'
38.3279 	EXP 	New trial (rep=0, index=12): {'stimulus': 8, 'category': u'number'}
38.3364 	EXP 	window1: blendMode = 'avg'
38.3531 	EXP 	stimuli: autoDraw = False
38.3531 	EXP 	stimuli: text = 8
38.3531 	EXP 	stimuli: autoDraw = True
38.3540 	EXP 	New trial (rep=0, index=13): {'stimulus': 3, 'category': u'number'}
38.3838 	EXP 	window1: blendMode = 'avg'
38.4216 	EXP 	stimuli: autoDraw = False
38.4216 	EXP 	stimuli: text = 3
38.4216 	EXP 	stimuli: autoDraw = True
38.4227 	EXP 	New trial (rep=0, index=14): {'stimulus': u'O', 'category': u'letter'}
