23.3071 	WARNING 	Trying to use a framebuffer object but GL_ARB_texture_float is not supported. Disabling
41.8609 	EXP 	stimuli: autoDraw = False
41.8609 	EXP 	stimuli: text = u'Y'
41.8609 	EXP 	stimuli: autoDraw = True
41.8618 	EXP 	New trial (rep=2, index=9): {'stimulus': u'M', 'category': u'letter'}
41.8683 	EXP 	window1: blendMode = 'avg'
41.8954 	EXP 	stimuli: autoDraw = False
41.8954 	EXP 	stimuli: text = u'M'
41.8954 	EXP 	stimuli: autoDraw = True
41.8959 	EXP 	window1: blendMode = 'avg'
41.9073 	EXP 	New trial (rep=2, index=10): {'stimulus': u'W', 'category': u'letter'}
41.9127 	EXP 	window1: blendMode = 'avg'
41.9735 	EXP 	stimuli: autoDraw = False
41.9735 	EXP 	stimuli: text = u'W'
41.9735 	EXP 	stimuli: autoDraw = True
41.9751 	EXP 	New trial (rep=2, index=11): {'stimulus': u'C', 'category': u'letter'}
41.9814 	EXP 	window1: blendMode = 'avg'
42.0272 	EXP 	stimuli: autoDraw = False
42.0272 	EXP 	stimuli: text = u'C'
42.0272 	EXP 	stimuli: autoDraw = True
42.0280 	EXP 	New trial (rep=2, index=12): {'stimulus': 4, 'category': u'number'}
42.0346 	EXP 	window1: blendMode = 'avg'
42.0624 	EXP 	stimuli: autoDraw = False
42.0624 	EXP 	stimuli: text = 4
42.0624 	EXP 	stimuli: autoDraw = True
42.0631 	EXP 	New trial (rep=2, index=13): {'stimulus': 6, 'category': u'number'}
42.0683 	EXP 	window1: blendMode = 'avg'
42.0781 	EXP 	stimuli: autoDraw = False
42.0781 	EXP 	stimuli: text = 6
42.0781 	EXP 	stimuli: autoDraw = True
42.0789 	EXP 	window1: blendMode = 'avg'
42.1181 	EXP 	New trial (rep=2, index=14): {'stimulus': u'H', 'category': u'letter'}
42.1243 	EXP 	window1: blendMode = 'avg'
42.1421 	EXP 	stimuli: autoDraw = False
42.1421 	EXP 	stimuli: text = u'H'
42.1421 	EXP 	stimuli: autoDraw = True
42.1430 	EXP 	window1: blendMode = 'avg'
42.1643 	EXP 	New trial (rep=2, index=15): {'stimulus': u'S', 'category': u'letter'}
42.1794 	EXP 	window1: blendMode = 'avg'
42.2079 	EXP 	stimuli: autoDraw = False
42.2079 	EXP 	stimuli: text = u'S'
42.2079 	EXP 	stimuli: autoDraw = True
42.2113 	EXP 	New trial (rep=2, index=16): {'stimulus': u'I', 'category': u'letter'}
42.2177 	EXP 	window1: blendMode = 'avg'
42.2270 	EXP 	stimuli: autoDraw = False
42.2270 	EXP 	stimuli: text = u'I'
42.2270 	EXP 	stimuli: autoDraw = True
42.2277 	EXP 	window1: blendMode = 'avg'
42.2977 	EXP 	New trial (rep=2, index=17): {'stimulus': 8, 'category': u'number'}
42.3044 	EXP 	New trial (rep=2, index=18): {'stimulus': 2, 'category': u'number'}
42.3145 	EXP 	window1: blendMode = 'avg'
42.3477 	EXP 	stimuli: autoDraw = False
42.3477 	EXP 	stimuli: text = 8
42.3477 	EXP 	stimuli: autoDraw = False
42.3477 	EXP 	stimuli: text = 2
42.3477 	EXP 	stimuli: autoDraw = True
42.3483 	EXP 	window1: blendMode = 'avg'
42.3760 	EXP 	New trial (rep=2, index=19): {'stimulus': u'R', 'category': u'letter'}
42.3810 	EXP 	window1: blendMode = 'avg'
42.4026 	EXP 	stimuli: autoDraw = False
42.4026 	EXP 	stimuli: text = u'R'
42.4026 	EXP 	stimuli: autoDraw = True
42.4128 	EXP 	New trial (rep=2, index=20): {'stimulus': 7, 'category': u'number'}
42.4188 	EXP 	window1: blendMode = 'avg'
42.4290 	EXP 	stimuli: autoDraw = False
42.4290 	EXP 	stimuli: text = 7
42.4290 	EXP 	stimuli: autoDraw = True
42.4300 	EXP 	window1: blendMode = 'avg'
42.4945 	EXP 	New trial (rep=2, index=21): {'stimulus': u'J', 'category': u'letter'}
42.4996 	EXP 	New trial (rep=2, index=22): {'stimulus': u'A', 'category': u'letter'}
42.5044 	EXP 	window1: blendMode = 'avg'
42.5465 	EXP 	stimuli: autoDraw = False
42.5465 	EXP 	stimuli: text = u'J'
42.5465 	EXP 	stimuli: autoDraw = False
42.5465 	EXP 	stimuli: text = u'A'
42.5465 	EXP 	stimuli: autoDraw = True
42.5476 	EXP 	window1: blendMode = 'avg'
42.5795 	EXP 	New trial (rep=2, index=23): {'stimulus': u'Q', 'category': u'letter'}
42.5846 	EXP 	window1: blendMode = 'avg'
42.6122 	EXP 	stimuli: autoDraw = False
42.6122 	EXP 	stimuli: text = u'Q'
42.6122 	EXP 	stimuli: autoDraw = True
42.6131 	EXP 	New trial (rep=2, index=24): {'stimulus': u'X', 'category': u'letter'}
42.6198 	EXP 	window1: blendMode = 'avg'
42.6640 	EXP 	stimuli: autoDraw = False
42.6640 	EXP 	stimuli: text = u'X'
42.6640 	EXP 	stimuli: autoDraw = True
42.6649 	EXP 	New trial (rep=2, index=25): {'stimulus': 3, 'category': u'number'}
42.6708 	EXP 	window1: blendMode = 'avg'
42.7018 	EXP 	stimuli: autoDraw = False
42.7018 	EXP 	stimuli: text = 3
42.7018 	EXP 	stimuli: autoDraw = True
42.7026 	EXP 	New trial (rep=2, index=26): {'stimulus': None, 'category': u'blank'}
42.7097 	EXP 	window1: blendMode = 'avg'
42.7418 	EXP 	stimuli: autoDraw = False
42.7418 	EXP 	stimuli: text = u'3'
42.7418 	EXP 	stimuli: autoDraw = True
42.7433 	EXP 	window1: blendMode = 'avg'
42.7832 	EXP 	New trial (rep=2, index=27): {'stimulus': u'G', 'category': u'letter'}
42.7931 	EXP 	window1: blendMode = 'avg'
42.8120 	EXP 	stimuli: autoDraw = False
42.8120 	EXP 	stimuli: text = u'G'
42.8120 	EXP 	stimuli: autoDraw = True
42.8127 	EXP 	New trial (rep=2, index=28): {'stimulus': u'E', 'category': u'letter'}
42.8187 	EXP 	window1: blendMode = 'avg'
42.8598 	EXP 	stimuli: autoDraw = False
42.8598 	EXP 	stimuli: text = u'E'
42.8598 	EXP 	stimuli: autoDraw = True
42.8607 	EXP 	New trial (rep=2, index=29): {'stimulus': u'D', 'category': u'letter'}
42.8658 	EXP 	window1: blendMode = 'avg'
42.8787 	EXP 	stimuli: autoDraw = False
42.8787 	EXP 	stimuli: text = u'D'
42.8787 	EXP 	stimuli: autoDraw = True
42.8836 	EXP 	window1: blendMode = 'avg'
42.9097 	EXP 	New trial (rep=2, index=30): {'stimulus': u'B', 'category': u'letter'}
42.9171 	EXP 	window1: blendMode = 'avg'
42.9457 	EXP 	stimuli: autoDraw = False
42.9457 	EXP 	stimuli: text = u'B'
42.9457 	EXP 	stimuli: autoDraw = True
42.9463 	EXP 	window1: blendMode = 'avg'
42.9653 	EXP 	New trial (rep=2, index=31): {'stimulus': 5, 'category': u'number'}
42.9707 	EXP 	window1: blendMode = 'avg'
43.0121 	EXP 	stimuli: autoDraw = False
43.0121 	EXP 	stimuli: text = 5
43.0121 	EXP 	stimuli: autoDraw = True
43.0129 	EXP 	New trial (rep=2, index=32): {'stimulus': u'probe', 'category': u'probe'}
43.0264 	EXP 	window1: blendMode = 'avg'
43.0570 	EXP 	stimuli: autoDraw = False
43.0570 	EXP 	stimuli: text = u'probe'
43.0570 	EXP 	stimuli: autoDraw = True
43.0584 	EXP 	New trial (rep=2, index=33): {'stimulus': u'O', 'category': u'letter'}
43.0635 	EXP 	window1: blendMode = 'avg'
43.0966 	EXP 	stimuli: autoDraw = False
43.0966 	EXP 	stimuli: text = u'O'
43.0966 	EXP 	stimuli: autoDraw = True
43.0971 	EXP 	window1: blendMode = 'avg'
43.1084 	EXP 	New trial (rep=2, index=34): {'stimulus': u'N', 'category': u'letter'}
43.1138 	EXP 	window1: blendMode = 'avg'
43.1771 	EXP 	stimuli: autoDraw = False
43.1771 	EXP 	stimuli: text = u'N'
43.1771 	EXP 	stimuli: autoDraw = True
43.1778 	EXP 	New trial (rep=2, index=35): {'stimulus': u'F', 'category': u'letter'}
43.1829 	EXP 	window1: blendMode = 'avg'
43.2112 	EXP 	stimuli: autoDraw = False
43.2112 	EXP 	stimuli: text = u'F'
43.2112 	EXP 	stimuli: autoDraw = True
43.2119 	EXP 	New trial (rep=2, index=36): {'stimulus': u'V', 'category': u'letter'}
43.2165 	EXP 	window1: blendMode = 'avg'
43.2276 	EXP 	stimuli: autoDraw = False
43.2276 	EXP 	stimuli: text = u'V'
43.2276 	EXP 	stimuli: autoDraw = True
43.2281 	EXP 	window1: blendMode = 'avg'
43.2954 	EXP 	New trial (rep=3, index=0): {'stimulus': u'N', 'category': u'letter'}
43.3006 	EXP 	New trial (rep=3, index=1): {'stimulus': u'O', 'category': u'letter'}
43.3076 	EXP 	window1: blendMode = 'avg'
43.3441 	EXP 	stimuli: autoDraw = False
43.3441 	EXP 	stimuli: text = u'N'
43.3441 	EXP 	stimuli: autoDraw = False
43.3441 	EXP 	stimuli: text = u'O'
43.3441 	EXP 	stimuli: autoDraw = True
43.3446 	EXP 	window1: blendMode = 'avg'
43.3786 	EXP 	New trial (rep=3, index=2): {'stimulus': u'Z', 'category': u'letter'}
43.3853 	EXP 	window1: blendMode = 'avg'
43.4068 	EXP 	stimuli: autoDraw = False
43.4068 	EXP 	stimuli: text = u'Z'
43.4068 	EXP 	stimuli: autoDraw = True
43.4100 	EXP 	New trial (rep=3, index=3): {'stimulus': None, 'category': u'blank'}
43.4156 	EXP 	window1: blendMode = 'avg'
43.4304 	EXP 	stimuli: autoDraw = False
43.4304 	EXP 	stimuli: text = u'Z'
43.4304 	EXP 	stimuli: autoDraw = True
43.4313 	EXP 	window1: blendMode = 'avg'
43.4948 	EXP 	New trial (rep=3, index=4): {'stimulus': u'Y', 'category': u'letter'}
43.5006 	EXP 	New trial (rep=3, index=5): {'stimulus': 7, 'category': u'number'}
43.5059 	EXP 	window1: blendMode = 'avg'
43.5456 	EXP 	stimuli: autoDraw = False
43.5456 	EXP 	stimuli: text = u'Y'
43.5456 	EXP 	stimuli: autoDraw = False
43.5456 	EXP 	stimuli: text = 7
43.5456 	EXP 	stimuli: autoDraw = True
43.5462 	EXP 	window1: blendMode = 'avg'
43.5792 	EXP 	New trial (rep=3, index=6): {'stimulus': u'X', 'category': u'letter'}
43.5848 	EXP 	window1: blendMode = 'avg'
43.6059 	EXP 	stimuli: autoDraw = False
43.6059 	EXP 	stimuli: text = u'X'
43.6059 	EXP 	stimuli: autoDraw = True
43.6075 	EXP 	New trial (rep=3, index=7): {'stimulus': u'L', 'category': u'letter'}
43.6135 	EXP 	window1: blendMode = 'avg'
43.6233 	EXP 	stimuli: autoDraw = False
43.6233 	EXP 	stimuli: text = u'L'
43.6233 	EXP 	stimuli: autoDraw = True
43.6238 	EXP 	window1: blendMode = 'avg'
43.6974 	EXP 	New trial (rep=3, index=8): {'stimulus': u'B', 'category': u'letter'}
43.7027 	EXP 	New trial (rep=3, index=9): {'stimulus': u'M', 'category': u'letter'}
43.7098 	EXP 	window1: blendMode = 'avg'
43.7397 	EXP 	stimuli: autoDraw = False
43.7397 	EXP 	stimuli: text = u'B'
43.7397 	EXP 	stimuli: autoDraw = False
43.7397 	EXP 	stimuli: text = u'M'
43.7397 	EXP 	stimuli: autoDraw = True
43.7404 	EXP 	window1: blendMode = 'avg'
43.7789 	EXP 	New trial (rep=3, index=10): {'stimulus': 5, 'category': u'number'}
43.7846 	EXP 	window1: blendMode = 'avg'
43.8078 	EXP 	stimuli: autoDraw = False
43.8078 	EXP 	stimuli: text = 5
43.8078 	EXP 	stimuli: autoDraw = True
43.8101 	EXP 	New trial (rep=3, index=11): {'stimulus': u'T', 'category': u'letter'}
43.8164 	EXP 	window1: blendMode = 'avg'
43.8301 	EXP 	stimuli: autoDraw = False
43.8301 	EXP 	stimuli: text = u'T'
43.8301 	EXP 	stimuli: autoDraw = True
43.8306 	EXP 	window1: blendMode = 'avg'
43.8945 	EXP 	New trial (rep=3, index=12): {'stimulus': 6, 'category': u'number'}
43.9003 	EXP 	New trial (rep=3, index=13): {'stimulus': u'E', 'category': u'letter'}
43.9063 	EXP 	window1: blendMode = 'avg'
43.9430 	EXP 	stimuli: autoDraw = False
43.9430 	EXP 	stimuli: text = 6
43.9430 	EXP 	stimuli: autoDraw = False
43.9430 	EXP 	stimuli: text = u'E'
43.9430 	EXP 	stimuli: autoDraw = True
43.9437 	EXP 	window1: blendMode = 'avg'
43.9751 	EXP 	New trial (rep=3, index=14): {'stimulus': u'S', 'category': u'letter'}
43.9806 	EXP 	window1: blendMode = 'avg'
44.0095 	EXP 	stimuli: autoDraw = False
44.0095 	EXP 	stimuli: text = u'S'
44.0095 	EXP 	stimuli: autoDraw = True
44.0106 	EXP 	New trial (rep=3, index=15): {'stimulus': u'probe', 'category': u'probe'}
44.0211 	EXP 	window1: blendMode = 'avg'
44.0615 	EXP 	stimuli: autoDraw = False
44.0615 	EXP 	stimuli: text = u'probe'
44.0615 	EXP 	stimuli: autoDraw = True
44.0624 	EXP 	New trial (rep=3, index=16): {'stimulus': u'G', 'category': u'letter'}
44.0674 	EXP 	window1: blendMode = 'avg'
44.0963 	EXP 	stimuli: autoDraw = False
44.0963 	EXP 	stimuli: text = u'G'
44.0963 	EXP 	stimuli: autoDraw = True
44.0969 	EXP 	window1: blendMode = 'avg'
44.1133 	EXP 	New trial (rep=3, index=17): {'stimulus': u'I', 'category': u'letter'}
44.1230 	EXP 	window1: blendMode = 'avg'
44.1748 	EXP 	stimuli: autoDraw = False
44.1748 	EXP 	stimuli: text = u'I'
44.1748 	EXP 	stimuli: autoDraw = True
44.1757 	EXP 	New trial (rep=3, index=18): {'stimulus': u'C', 'category': u'letter'}
44.1826 	EXP 	window1: blendMode = 'avg'
44.2062 	EXP 	stimuli: autoDraw = False
44.2062 	EXP 	stimuli: text = u'C'
44.2062 	EXP 	stimuli: autoDraw = True
44.2095 	EXP 	New trial (rep=3, index=19): {'stimulus': u'U', 'category': u'letter'}
44.2223 	EXP 	window1: blendMode = 'avg'
44.2562 	EXP 	stimuli: autoDraw = False
44.2562 	EXP 	stimuli: text = u'U'
44.2562 	EXP 	stimuli: autoDraw = True
44.2602 	EXP 	New trial (rep=3, index=20): {'stimulus': 9, 'category': u'number'}
44.2657 	EXP 	window1: blendMode = 'avg'
44.2964 	EXP 	stimuli: autoDraw = False
44.2964 	EXP 	stimuli: text = 9
44.2964 	EXP 	stimuli: autoDraw = True
44.2971 	EXP 	window1: blendMode = 'avg'
44.3068 	EXP 	New trial (rep=3, index=21): {'stimulus': u'H', 'category': u'letter'}
44.3115 	EXP 	window1: blendMode = 'avg'
44.3737 	EXP 	stimuli: autoDraw = False
44.3737 	EXP 	stimuli: text = u'H'
44.3737 	EXP 	stimuli: autoDraw = True
44.3748 	EXP 	New trial (rep=3, index=22): {'stimulus': 2, 'category': u'number'}
44.3803 	EXP 	window1: blendMode = 'avg'
44.4082 	EXP 	stimuli: autoDraw = False
44.4082 	EXP 	stimuli: text = 2
44.4082 	EXP 	stimuli: autoDraw = True
44.4097 	EXP 	New trial (rep=3, index=23): {'stimulus': 8, 'category': u'number'}
44.4161 	EXP 	window1: blendMode = 'avg'
44.4252 	EXP 	stimuli: autoDraw = False
44.4252 	EXP 	stimuli: text = 8
44.4252 	EXP 	stimuli: autoDraw = True
44.4256 	EXP 	window1: blendMode = 'avg'
44.4958 	EXP 	New trial (rep=3, index=24): {'stimulus': u'Q', 'category': u'letter'}
44.5017 	EXP 	New trial (rep=3, index=25): {'stimulus': 4, 'category': u'number'}
44.5155 	EXP 	window1: blendMode = 'avg'
44.5475 	EXP 	stimuli: autoDraw = False
44.5475 	EXP 	stimuli: text = u'Q'
44.5475 	EXP 	stimuli: autoDraw = False
44.5475 	EXP 	stimuli: text = 4
44.5475 	EXP 	stimuli: autoDraw = True
44.5481 	EXP 	window1: blendMode = 'avg'
44.5664 	EXP 	New trial (rep=3, index=26): {'stimulus': u'W', 'category': u'letter'}
44.5825 	EXP 	window1: blendMode = 'avg'
44.5934 	EXP 	stimuli: autoDraw = False
44.5934 	EXP 	stimuli: text = u'W'
44.5934 	EXP 	stimuli: autoDraw = True
44.5953 	EXP 	window1: blendMode = 'avg'
44.6256 	EXP 	New trial (rep=3, index=27): {'stimulus': u'V', 'category': u'letter'}
44.6347 	EXP 	window1: blendMode = 'avg'
44.6527 	EXP 	stimuli: autoDraw = False
44.6527 	EXP 	stimuli: text = u'V'
44.6527 	EXP 	stimuli: autoDraw = True
44.6535 	EXP 	New trial (rep=3, index=28): {'stimulus': u'D', 'category': u'letter'}
44.6617 	EXP 	window1: blendMode = 'avg'
44.6890 	EXP 	stimuli: autoDraw = False
44.6890 	EXP 	stimuli: text = u'D'
44.6890 	EXP 	stimuli: autoDraw = True
44.6902 	EXP 	window1: blendMode = 'avg'
44.7080 	EXP 	New trial (rep=3, index=29): {'stimulus': u'R', 'category': u'letter'}
44.7139 	EXP 	window1: blendMode = 'avg'
44.7764 	EXP 	stimuli: autoDraw = False
44.7764 	EXP 	stimuli: text = u'R'
44.7764 	EXP 	stimuli: autoDraw = True
44.7772 	EXP 	New trial (rep=3, index=30): {'stimulus': u'P', 'category': u'letter'}
44.7820 	EXP 	window1: blendMode = 'avg'
44.8090 	EXP 	stimuli: autoDraw = False
44.8090 	EXP 	stimuli: text = u'P'
44.8090 	EXP 	stimuli: autoDraw = True
44.8102 	EXP 	New trial (rep=3, index=31): {'stimulus': u'J', 'category': u'letter'}
44.8156 	EXP 	window1: blendMode = 'avg'
44.8261 	EXP 	stimuli: autoDraw = False
44.8261 	EXP 	stimuli: text = u'J'
44.8261 	EXP 	stimuli: autoDraw = True
44.8268 	EXP 	window1: blendMode = 'avg'
44.8942 	EXP 	New trial (rep=3, index=32): {'stimulus': 1, 'category': u'number'}
44.8999 	EXP 	New trial (rep=3, index=33): {'stimulus': u'K', 'category': u'letter'}
44.9077 	EXP 	window1: blendMode = 'avg'
44.9434 	EXP 	stimuli: autoDraw = False
44.9434 	EXP 	stimuli: text = 1
44.9434 	EXP 	stimuli: autoDraw = False
44.9434 	EXP 	stimuli: text = u'K'
44.9434 	EXP 	stimuli: autoDraw = True
44.9440 	EXP 	window1: blendMode = 'avg'
44.9770 	EXP 	New trial (rep=3, index=34): {'stimulus': 3, 'category': u'number'}
44.9842 	EXP 	window1: blendMode = 'avg'
45.0080 	EXP 	stimuli: autoDraw = False
45.0080 	EXP 	stimuli: text = 3
45.0080 	EXP 	stimuli: autoDraw = True
45.0096 	EXP 	New trial (rep=3, index=35): {'stimulus': u'A', 'category': u'letter'}
45.0155 	EXP 	window1: blendMode = 'avg'
45.0314 	EXP 	stimuli: autoDraw = False
45.0314 	EXP 	stimuli: text = u'A'
45.0314 	EXP 	stimuli: autoDraw = True
45.0319 	EXP 	window1: blendMode = 'avg'
45.0943 	EXP 	New trial (rep=3, index=36): {'stimulus': u'F', 'category': u'letter'}
45.1001 	EXP 	New trial (rep=4, index=0): {'stimulus': u'D', 'category': u'letter'}
45.1071 	EXP 	window1: blendMode = 'avg'
45.1419 	EXP 	stimuli: autoDraw = False
45.1419 	EXP 	stimuli: text = u'F'
45.1419 	EXP 	stimuli: autoDraw = False
45.1419 	EXP 	stimuli: text = u'D'
45.1419 	EXP 	stimuli: autoDraw = True
45.1425 	EXP 	window1: blendMode = 'avg'
45.1773 	EXP 	New trial (rep=4, index=1): {'stimulus': u'W', 'category': u'letter'}
45.1827 	EXP 	window1: blendMode = 'avg'
45.2082 	EXP 	stimuli: autoDraw = False
45.2082 	EXP 	stimuli: text = u'W'
45.2082 	EXP 	stimuli: autoDraw = True
45.2128 	EXP 	New trial (rep=4, index=2): {'stimulus': u'I', 'category': u'letter'}
45.2189 	EXP 	window1: blendMode = 'avg'
45.2555 	EXP 	stimuli: autoDraw = False
45.2555 	EXP 	stimuli: text = u'I'
45.2555 	EXP 	stimuli: autoDraw = True
45.2563 	EXP 	New trial (rep=4, index=3): {'stimulus': u'T', 'category': u'letter'}
45.2623 	EXP 	window1: blendMode = 'avg'
45.2954 	EXP 	stimuli: autoDraw = False
45.2954 	EXP 	stimuli: text = u'T'
45.2954 	EXP 	stimuli: autoDraw = True
45.2960 	EXP 	window1: blendMode = 'avg'
45.3077 	EXP 	New trial (rep=4, index=4): {'stimulus': u'Y', 'category': u'letter'}
45.3149 	EXP 	window1: blendMode = 'avg'
45.3768 	EXP 	stimuli: autoDraw = False
45.3768 	EXP 	stimuli: text = u'Y'
45.3768 	EXP 	stimuli: autoDraw = True
45.3775 	EXP 	New trial (rep=4, index=5): {'stimulus': 2, 'category': u'number'}
45.3841 	EXP 	window1: blendMode = 'avg'
45.4115 	EXP 	stimuli: autoDraw = False
45.4115 	EXP 	stimuli: text = 2
45.4115 	EXP 	stimuli: autoDraw = True
45.4124 	EXP 	New trial (rep=4, index=6): {'stimulus': u'U', 'category': u'letter'}
45.4195 	EXP 	window1: blendMode = 'avg'
45.4560 	EXP 	stimuli: autoDraw = False
45.4560 	EXP 	stimuli: text = u'U'
45.4560 	EXP 	stimuli: autoDraw = True
45.4574 	EXP 	New trial (rep=4, index=7): {'stimulus': 1, 'category': u'number'}
45.4633 	EXP 	window1: blendMode = 'avg'
45.4964 	EXP 	stimuli: autoDraw = False
45.4964 	EXP 	stimuli: text = 1
45.4964 	EXP 	stimuli: autoDraw = True
45.4969 	EXP 	window1: blendMode = 'avg'
45.5135 	EXP 	New trial (rep=4, index=8): {'stimulus': None, 'category': u'blank'}
45.5189 	EXP 	window1: blendMode = 'avg'
45.5726 	EXP 	stimuli: autoDraw = False
45.5726 	EXP 	stimuli: text = u'1'
45.5726 	EXP 	stimuli: autoDraw = True
45.5736 	EXP 	New trial (rep=4, index=9): {'stimulus': u'Q', 'category': u'letter'}
45.5786 	EXP 	window1: blendMode = 'avg'
45.6221 	EXP 	stimuli: autoDraw = False
45.6221 	EXP 	stimuli: text = u'Q'
45.6221 	EXP 	stimuli: autoDraw = True
45.6228 	EXP 	New trial (rep=4, index=10): {'stimulus': u'P', 'category': u'letter'}
45.6278 	EXP 	window1: blendMode = 'avg'
45.6583 	EXP 	stimuli: autoDraw = False
45.6583 	EXP 	stimuli: text = u'P'
45.6583 	EXP 	stimuli: autoDraw = True
45.6591 	EXP 	New trial (rep=4, index=11): {'stimulus': u'K', 'category': u'letter'}
45.6640 	EXP 	window1: blendMode = 'avg'
45.6895 	EXP 	stimuli: autoDraw = False
45.6895 	EXP 	stimuli: text = u'K'
45.6895 	EXP 	stimuli: autoDraw = True
45.6902 	EXP 	window1: blendMode = 'avg'
45.7082 	EXP 	New trial (rep=4, index=12): {'stimulus': u'M', 'category': u'letter'}
45.7136 	EXP 	window1: blendMode = 'avg'
45.7390 	EXP 	stimuli: autoDraw = False
45.7390 	EXP 	stimuli: text = u'M'
45.7390 	EXP 	stimuli: autoDraw = True
45.7408 	EXP 	window1: blendMode = 'avg'
45.7751 	EXP 	New trial (rep=4, index=13): {'stimulus': u'R', 'category': u'letter'}
45.7805 	EXP 	window1: blendMode = 'avg'
45.8060 	EXP 	stimuli: autoDraw = False
45.8060 	EXP 	stimuli: text = u'R'
45.8060 	EXP 	stimuli: autoDraw = True
45.8093 	EXP 	New trial (rep=4, index=14): {'stimulus': 4, 'category': u'number'}
45.8149 	EXP 	window1: blendMode = 'avg'
45.8296 	EXP 	stimuli: autoDraw = False
45.8296 	EXP 	stimuli: text = 4
45.8296 	EXP 	stimuli: autoDraw = True
45.8302 	EXP 	window1: blendMode = 'avg'
45.8983 	EXP 	New trial (rep=4, index=15): {'stimulus': 6, 'category': u'number'}
45.9124 	EXP 	New trial (rep=4, index=16): {'stimulus': u'F', 'category': u'letter'}
45.9181 	EXP 	window1: blendMode = 'avg'
45.9442 	EXP 	stimuli: autoDraw = False
45.9442 	EXP 	stimuli: text = 6
45.9442 	EXP 	stimuli: autoDraw = False
45.9442 	EXP 	stimuli: text = u'F'
45.9442 	EXP 	stimuli: autoDraw = True
45.9448 	EXP 	window1: blendMode = 'avg'
45.9785 	EXP 	New trial (rep=4, index=17): {'stimulus': u'O', 'category': u'letter'}
45.9863 	EXP 	window1: blendMode = 'avg'
46.0123 	EXP 	stimuli: autoDraw = False
46.0123 	EXP 	stimuli: text = u'O'
46.0123 	EXP 	stimuli: autoDraw = True
46.0131 	EXP 	New trial (rep=4, index=18): {'stimulus': u'Z', 'category': u'letter'}
46.0188 	EXP 	window1: blendMode = 'avg'
46.0557 	EXP 	stimuli: autoDraw = False
46.0557 	EXP 	stimuli: text = u'Z'
46.0557 	EXP 	stimuli: autoDraw = True
46.0566 	EXP 	New trial (rep=4, index=19): {'stimulus': 5, 'category': u'number'}
46.0625 	EXP 	window1: blendMode = 'avg'
46.0964 	EXP 	stimuli: autoDraw = False
46.0964 	EXP 	stimuli: text = 5
46.0964 	EXP 	stimuli: autoDraw = True
46.0970 	EXP 	window1: blendMode = 'avg'
46.1119 	EXP 	New trial (rep=4, index=20): {'stimulus': u'E', 'category': u'letter'}
46.1182 	EXP 	window1: blendMode = 'avg'
46.1780 	EXP 	stimuli: autoDraw = False
46.1780 	EXP 	stimuli: text = u'E'
46.1780 	EXP 	stimuli: autoDraw = True
46.1787 	EXP 	New trial (rep=4, index=21): {'stimulus': 3, 'category': u'number'}
46.1934 	EXP 	window1: blendMode = 'avg'
46.2118 	EXP 	stimuli: autoDraw = False
46.2118 	EXP 	stimuli: text = 3
46.2118 	EXP 	stimuli: autoDraw = True
46.2125 	EXP 	New trial (rep=4, index=22): {'stimulus': u'V', 'category': u'letter'}
46.2180 	EXP 	window1: blendMode = 'avg'
46.2272 	EXP 	stimuli: autoDraw = False
46.2272 	EXP 	stimuli: text = u'V'
46.2272 	EXP 	stimuli: autoDraw = True
46.2277 	EXP 	window1: blendMode = 'avg'
46.2973 	EXP 	New trial (rep=4, index=23): {'stimulus': u'N', 'category': u'letter'}
46.3024 	EXP 	New trial (rep=4, index=24): {'stimulus': u'H', 'category': u'letter'}
46.3117 	EXP 	window1: blendMode = 'avg'
46.3441 	EXP 	stimuli: autoDraw = False
46.3441 	EXP 	stimuli: text = u'N'
46.3441 	EXP 	stimuli: autoDraw = False
46.3441 	EXP 	stimuli: text = u'H'
46.3441 	EXP 	stimuli: autoDraw = True
46.3446 	EXP 	window1: blendMode = 'avg'
46.3775 	EXP 	New trial (rep=4, index=25): {'stimulus': u'S', 'category': u'letter'}
46.3831 	EXP 	window1: blendMode = 'avg'
46.4087 	EXP 	stimuli: autoDraw = False
46.4087 	EXP 	stimuli: text = u'S'
46.4087 	EXP 	stimuli: autoDraw = True
46.4096 	EXP 	New trial (rep=4, index=26): {'stimulus': u'C', 'category': u'letter'}
46.4162 	EXP 	window1: blendMode = 'avg'
46.4328 	EXP 	stimuli: autoDraw = False
46.4328 	EXP 	stimuli: text = u'C'
46.4328 	EXP 	stimuli: autoDraw = True
46.4336 	EXP 	window1: blendMode = 'avg'
46.4939 	EXP 	New trial (rep=4, index=27): {'stimulus': u'A', 'category': u'letter'}
46.5199 	EXP 	New trial (rep=4, index=28): {'stimulus': u'J', 'category': u'letter'}
46.5456 	EXP 	window1: blendMode = 'avg'
46.5819 	EXP 	stimuli: autoDraw = False
46.5819 	EXP 	stimuli: text = u'A'
46.5819 	EXP 	stimuli: autoDraw = False
46.5819 	EXP 	stimuli: text = u'J'
46.5819 	EXP 	stimuli: autoDraw = True
46.5834 	EXP 	New trial (rep=4, index=29): {'stimulus': u'G', 'category': u'letter'}
46.5934 	EXP 	window1: blendMode = 'avg'
46.6303 	EXP 	stimuli: autoDraw = False
46.6303 	EXP 	stimuli: text = u'G'
46.6303 	EXP 	stimuli: autoDraw = True
46.6320 	EXP 	New trial (rep=4, index=30): {'stimulus': u'X', 'category': u'letter'}
46.6443 	EXP 	window1: blendMode = 'avg'
